NBIdent,Gemeinde,BFS-Nr,Grundbuch,zuständig,E-Mailadresse, CC: E-Mailadresse,AVGBS eingeführt
SO0200002578,Gunzgen,2578,Gunzgen,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002579,Hägendorf,2579,Hägendorf,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002520,Halten,2520,Halten,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002402,Härkingen,2402,Härkingen,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002491,Hauenstein-Ifenthal,2491,Hauenstein-Ifenthal,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002424,Herbetswil,2424,Herbetswil,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002618,Himmelried,2618,Himmelried,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002475,Hochwald,2475,Hochwald,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002476,Hofstetten-Flüh,2476,Hofstetten-Flüh,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002425,Holderbank (SO),2425,Holderbank,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002523,Horriwil,2523,Horriwil,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002548,Hubersdorf,2548,Hubersdorf,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002524,Hüniken,2524,Hüniken,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002549,Kammersrohr,2549,Kammersrohr,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002580,Kappel (SO),2580,Kappel,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002403,Kestenholz,2403,Kestenholz,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002492,Kienberg,2492,Kienberg,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002619,Kleinlützel,2619,Kleinlützel,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002525,Kriegstetten,2525,Kriegstetten,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002550,Langendorf,2550,Langendorf,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002426,Laupersdorf,2426,Laupersdorf,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002526,Lohn-Ammannsegg,2526,Lohn-Ammannsegg,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002551,Lommiswil,2551,Lommiswil,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002493,Lostorf,2493,Lostorf,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0300002464,Lüsslingen-Nennigkofen,2464,"Nennigkofen, Lüsslingen",Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002527,Luterbach,2527,Luterbach,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002455,Lüterkofen-Ichertswil,2455,Lüterkofen-Ichertswil,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0300002456,Lüterswil-Gächliwil,2456,"Lüterswil, Gächliwil",Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002427,Matzendorf,2427,Matzendorf,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002620,Meltingen,2620,Meltingen,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0300002457,Messen,2457,"Messen, Balm bei Messen, Brunnenthal,  Oberramsern",Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002477,Metzerlen-Mariastein,2477,Metzerlen-Mariastein,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002428,Mümliswil-Ramiswil,2428,Mümliswil-Ramiswil,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002404,Neuendorf,2404,Neuendorf,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002405,Niederbuchsiten,2405,Niederbuchsiten,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002495,Niedergösgen,2495,Niedergösgen,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002478,Nuglar-St. Pantaleon,2478,Nuglar-St. Pantaleon,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002621,Nunningen,2621,Nunningen,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002406,Oberbuchsiten,2406,Oberbuchsiten,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002553,Oberdorf (SO),2553,Oberdorf,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002528,Obergerlafingen,2528,Obergerlafingen,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002497,Obergösgen,2497,Obergösgen,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002529,Oekingen,2529,Oekingen,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002407,Oensingen,2407,Oensingen,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002581,Olten,2581,Olten,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002530,Recherswil,2530,Recherswil,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002582,Rickenbach (SO),2582,Rickenbach,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0300002554,Riedholz,2554,"Riedholz, Niederwil",Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002479,Rodersdorf,2479,Rodersdorf,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002498,Rohr (SO),2498,Rohr,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002555,Rüttenen,2555,Rüttenen,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002461,Schnottwil,2461,Schnottwil,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002583,Schönenwerd,2583,Schönenwerd,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002480,Seewen,2480,Seewen,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002556,Selzach,2556,Selzach,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002601,Solothurn,2601,Solothurn,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002584,Starrkirch-Wil,2584,Starrkirch-Wil,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002499,Stüsslingen,2499,Stüsslingen,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002532,Subingen,2532,Subingen,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002500,Trimbach,2500,Trimbach,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002463,Unterramsern,2463,Unterramsern,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002585,Walterswil (SO),2585,Walterswil,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002586,Wangen b. Olten,2586,Wangen bei Olten,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002429,Welschenrohr,2429,Welschenrohr,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002501,Winznau,2501,Winznau,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002502,Wisen (SO),2502,Wisen,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002481,Witterswil,2481,Witterswil,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002408,Wolfwil,2408,Wolfwil,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002534,Zuchwil,2534,Zuchwil,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002622,Zullwil,2622,Zullwil,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
